src,sport,dst,dport,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,avg_ttl_orig,avg_ttl_resp,overall_avg_ttl,mean_interpkt_orig,std_interpkt_orig,mean_interpkt_resp,std_interpkt_resp,Sload,Dload,mean_pkt_size_orig,mean_pkt_size_resp,load_diff,swin,dwin,stcpb,dtcpb,is_sm_ips_ports
172.22.57.150,49972,8.8.8.8,53,17,0.000000,92,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,92.0,0,0,0.0,0.0,0,0,0
172.22.57.150,50667,8.8.8.8,53,17,0.000000,92,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,92.0,0,0,0.0,0.0,0,0,0
8.8.8.8,53,172.22.57.150,49972,17,0.000000,212,0,1,0,57.0,0,57.0,0.0,0.0,0,0,0,0,212.0,0,0,0.0,0.0,0,0,0
8.8.8.8,53,172.22.57.150,50667,17,0.000000,263,0,1,0,113.0,0,113.0,0.0,0.0,0,0,0,0,263.0,0,0,0.0,0.0,0,0,0
172.22.57.150,49716,142.250.183.110,443,17,0.481666,7903,0,16,0,128.0,0,128.0,0.03211105664571126,0.05545312844323726,0,0,131261.0813302163740019017327,0E+6,493.9375,0,131261.0813302163740019017327,0.0,0.0,0,0,0
142.250.183.110,443,172.22.57.150,49716,17,0.469005,9116,0,18,0,58.0,0,58.0,0.027588521733003503,0.05120845040903318,0,0,155495.1439750109273888338077,0E+6,506.44444444444446,0,155495.1439750109273888338077,0.0,0.0,0,0,0
172.22.57.150,54425,31.13.79.53,443,6,0.094421,1264,0,8,0,128.0,0,128.0,0.01348870141165597,0.009784961093229034,0,0,107094.8200082608741699410089,0E+6,158.0,0,107094.8200082608741699410089,9087.0,65535.0,113994082,0,0
172.22.57.150,54426,31.13.79.53,443,6,1.526885,7541,0,95,0,128.0,0,128.0,0.016243457794189453,0.03867228135239936,0,0,39510.50668517930295994786772,0E+6,79.37894736842105,0,39510.50668517930295994786772,1702.7157894736843,65535.0,2888203453,0,0
172.22.57.150,54427,31.13.79.53,443,6,0.084964,1085,0,8,0,128.0,0,128.0,0.012137719563075475,0.010852985020013311,0,0,102160.9152111482510239630902,0E+6,135.625,0,102160.9152111482510239630902,9087.375,65535.0,1563945989,0,0
31.13.79.53,443,172.22.57.150,54425,6,0.135016,878,0,7,0,55.0,0,55.0,0.022502660751342773,0.02505859586270481,0,0,52023.46388576168750370326480,0E+6,125.42857142857143,0,52023.46388576168750370326480,9586.714285714286,65535.0,3086409853,0,0
31.13.79.53,443,172.22.57.150,54426,6,1.502857,523599,0,423,0,55.0,0,55.0,0.0035612724403634457,0.020351292407742864,0,0,2787219.276351642238749262239,0E+6,1237.822695035461,0,2787219.276351642238749262239,440.4917257683215,65535.0,308863935,0,0
31.13.79.53,443,172.22.57.150,54427,6,0.120676,4006,0,10,0,56.0,0,56.0,0.013408448961046007,0.02125765413753085,0,0,265570.6188471609930723590441,0E+6,400.6,0,265570.6188471609930723590441,6788.4,65535.0,2779315499,0,0
172.22.57.150,54428,31.13.79.53,443,6,0.090464,1193,0,10,0,128.0,0,128.0,0.01005154185824924,0.009601727088136407,0,0,105500.5305978068623983020870,0E+6,119.3,0,105500.5305978068623983020870,7474.7,65535.0,538728227,0,0
31.13.79.53,443,172.22.57.150,54428,6,0.124195,3953,0,9,0,55.0,0,55.0,0.01552438735961914,0.019504453388484014,0,0,254631.8289786223277909738717,0E+6,439.22222222222223,0,254631.8289786223277909738717,7513.666666666667,65535.0,4178566539,0,0
172.22.57.150,62644,8.8.8.8,53,17,0.000000,92,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,92.0,0,0,0.0,0.0,0,0,0
172.22.57.150,62644,14.139.5.5,53,17,0.000000,92,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,92.0,0,0,0.0,0.0,0,0,0
8.8.8.8,53,172.22.57.150,62644,17,0.000000,215,0,1,0,58.0,0,58.0,0.0,0.0,0,0,0,0,215.0,0,0,0.0,0.0,0,0,0
172.22.57.150,54429,13.89.179.11,443,6,0.000000,66,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,66.0,0,0,65535.0,65535.0,4091298826,0,0
13.89.179.11,443,172.22.57.150,54429,6,0.000000,66,0,1,0,103.0,0,103.0,0.0,0.0,0,0,0,0,66.0,0,0,65535.0,65535.0,1413040393,0,0
